District,Rainfall_2023_mm,Normal_Rainfall_mm,Extraction_Status,TDS/EC_Level,Nitrate_Status,Fluoride_Status,PH,TDS_mg_L,Calcium_mg_L,Magnesium_mg_L,Chloride_mg_L,Nitrate_mg_L,Fluoride_mg_L
Ahmedabad,666.4,678.1,Safe,Moderate,Within Limit,Within Limit,8.01,1180,78.9,44.2,471,37.0,0.6
Surat,1482.2,1563.3,Safe,Moderate,Within Limit,Within Limit,7.5,605,33.8,13.2,156,8.9,0.97
Vadodara,678.1,833.4,Safe,High,Within Limit,Within Limit,7.31,1928,99.9,37.5,488,21.9,0.4
Rajkot,612.0,660.0,Safe,Moderate,Within Limit,Within Limit,7.16,672,110.5,39.9,133,38.6,0.38
Gandhinagar,534.4,691.1,Safe,Low,Within Limit,Within Limit,7.48,361,82.0,38.0,131,15.7,0.33
Bhavnagar,579.5,614.0,Saline,Very High,Within Limit,Within Limit,7.54,4241,109.6,98.5,1079,11.6,1.15
Jamnagar,741.4,671.5,Safe,Low,Within Limit,Within Limit,7.28,484,76.3,51.9,133,17.2,0.41
Junagadh,901.7,812.3,Safe,High,Within Limit,Above Limit,7.37,1805,116.2,62.5,450,26.7,2.01
Kutch,442.4,348.6,Safe,Low,Within Limit,Within Limit,7.73,166,65.1,28.0,99,4.1,0.7
Banaskantha,628.7,517.9,Over-Exploited,Moderate,Within Limit,Within Limit,7.08,1158,73.1,61.1,366,13.1,1.09
Patan,587.2,524.2,Safe,Moderate,Within Limit,Within Limit,7.27,525,62.7,15.9,205,24.6,0.8
Mehsana,440.0,539.1,Safe,Moderate,Above Limit,Within Limit,7.26,622,56.4,36.9,238,90.4,0.89
Sabarkantha,707.8,713.7,Saline,Moderate,Within Limit,Within Limit,7.39,958,80.4,81.3,274,25.5,0.78
Aravalli,782.7,679.9,Safe,Moderate,Within Limit,Above Limit,7.72,1256,66.9,69.9,252,32.0,2.98
Anand,689.6,740.6,Safe,Moderate,Within Limit,Within Limit,7.2,849,46.0,43.8,177,29.2,0.46
Kheda,802.5,873.0,Safe,Moderate,Within Limit,Within Limit,7.73,659,48.6,43.3,319,5.5,0.89
Panchmahal,1005.1,919.1,Semi-Critical,Low,Within Limit,Within Limit,6.87,381,78.1,40.2,165,26.4,0.53
Dahod,1158.2,1120.1,Safe,Moderate,Within Limit,Within Limit,8.15,521,79.9,19.9,233,9.2,1.28
Bharuch,1093.7,1200.4,Semi-Critical,Moderate,Within Limit,Within Limit,7.57,1426,105.0,79.8,387,10.9,0.47
Narmada,1106.9,1118.4,Safe,Moderate,Within Limit,Above Limit,7.51,982,96.2,44.9,412,16.2,3.5
Tapi,1516.4,1679.3,Saline,Moderate,Within Limit,Within Limit,7.59,1464,84.8,62.7,454,18.9,0.48
Navsari,1508.7,1598.0,Safe,Moderate,Within Limit,Within Limit,7.49,1337,61.8,52.7,415,9.9,0.88
Valsad,1751.6,2008.7,Safe,Moderate,Within Limit,Within Limit,7.62,992,101.5,60.7,188,9.4,1.09
Botad,704.3,665.7,Safe,Very High,Within Limit,Within Limit,7.63,4000,162.7,104.3,1102,15.5,1.26
Chhota Udaipur,1002.2,1033.0,Safe,Moderate,Within Limit,Within Limit,7.43,598,118.3,11.0,254,5.5,0.6
Devbhoomi Dwarka,679.3,674.4,Safe,Low,Within Limit,Within Limit,7.11,419,82.0,25.3,172,20.7,0.54
Gir Somnath,1257.9,1178.7,Safe,Low,Within Limit,Within Limit,7.47,237,51.5,46.3,46,18.2,1.08
Morbi,533.3,623.3,Safe,Moderate,Within Limit,Within Limit,7.21,655,60.0,66.3,246,7.3,1.39
Porbandar,895.8,813.2,Safe,Low,Within Limit,Within Limit,7.21,321,91.8,24.2,166,37.2,0.46
Mahisagar,572.7,945.4,Safe,Low,Within Limit,Within Limit,7.3,433,43.7,61.0,44,14.1,0.87
Surendranagar,564.4,672.1,Safe,High,Within Limit,Within Limit,7.4,1608,72.5,61.0,468,12.4,0.83
Dang,2164.2,2135.8,Safe,Moderate,Within Limit,Within Limit,8.03,1190,59.0,79.8,191,17.7,1.14
Amreli,665.2,715.0,Safe,Moderate,Within Limit,Within Limit,7.2,706,62.3,53.3,255,11.5,1.37
Ahmedabad,736.5,667.4,Safe,Moderate,Within Limit,Within Limit,7.07,1167,72.1,58.7,391,19.7,0.86
Surat,1545.5,1649.1,Safe,Moderate,Within Limit,Above Limit,7.32,1111,77.9,63.1,394,38.3,1.75
Vadodara,976.6,901.5,Saline,High,Within Limit,Above Limit,7.53,2141,100.2,63.6,633,10.4,2.81
Rajkot,489.2,586.3,Semi-Critical,High,Within Limit,Within Limit,7.72,1603,104.5,63.5,450,9.8,0.84
Gandhinagar,721.9,643.9,Saline,High,Within Limit,Within Limit,7.07,2323,100.0,71.0,586,10.4,0.93
Bhavnagar,624.2,662.2,Over-Exploited,Moderate,Within Limit,Within Limit,7.49,1185,54.7,26.7,289,16.9,0.96
Jamnagar,758.1,693.8,Safe,Moderate,Within Limit,Within Limit,7.39,727,54.5,40.6,209,25.9,0.49
Junagadh,1106.7,938.1,Safe,Moderate,Within Limit,Within Limit,7.56,749,88.8,35.2,255,20.2,0.85
Kutch,320.6,319.1,Safe,Moderate,Within Limit,Within Limit,7.98,1079,100.8,78.5,258,40.2,0.89
Banaskantha,548.9,609.5,Safe,Low,Within Limit,Within Limit,7.16,483,27.2,29.4,110,22.6,0.98
Patan,663.1,601.3,Safe,Moderate,Above Limit,Within Limit,7.04,566,81.2,18.7,338,51.4,0.6
Mehsana,564.8,470.1,Safe,Moderate,Within Limit,Within Limit,7.9,747,43.0,32.2,237,20.8,0.61
Sabarkantha,647.8,733.2,Saline,High,Within Limit,Above Limit,7.45,2328,116.9,75.6,542,5.9,1.72
Aravalli,702.6,769.9,Safe,High,Above Limit,Within Limit,7.45,2029,124.2,61.4,722,81.5,0.69
Anand,916.4,858.3,Safe,High,Within Limit,Within Limit,7.01,1819,110.1,73.2,364,7.8,0.24
Kheda,828.4,763.8,Safe,High,Within Limit,Within Limit,7.43,1970,132.0,38.9,406,19.1,1.01
Panchmahal,670.2,897.6,Safe,Moderate,Within Limit,Within Limit,6.88,758,88.6,46.9,164,13.3,0.42
Dahod,1218.7,1094.6,Safe,Low,Within Limit,Within Limit,7.6,443,58.3,24.7,152,8.7,0.57
Bharuch,1251.6,996.2,Safe,Moderate,Within Limit,Within Limit,7.12,817,80.6,40.6,237,32.7,1.26
Narmada,1060.6,1146.9,Semi-Critical,Moderate,Within Limit,Within Limit,6.48,678,43.3,60.7,351,16.4,1.13
Tapi,2224.4,1639.4,Safe,High,Within Limit,Within Limit,7.35,1566,72.2,29.4,458,10.9,0.34
Navsari,1497.5,1713.8,Critical,High,Within Limit,Above Limit,7.75,2202,103.9,85.2,607,10.0,2.0
Valsad,1847.5,2080.8,Safe,Moderate,Within Limit,Within Limit,7.05,714,46.6,54.6,381,6.5,1.12
Botad,570.9,607.5,Safe,Moderate,Within Limit,Within Limit,7.05,561,72.2,25.9,212,19.2,0.69
Chhota Udaipur,946.4,1021.3,Safe,Moderate,Within Limit,Within Limit,7.6,1259,65.6,50.4,425,5.3,1.11
Devbhoomi Dwarka,629.7,586.9,Saline,High,Within Limit,Within Limit,6.68,1707,61.6,56.3,497,9.7,1.17
Gir Somnath,853.3,861.5,Over-Exploited,Moderate,Within Limit,Within Limit,7.14,819,77.3,29.4,224,44.7,0.57
Morbi,537.1,621.8,Safe,Moderate,Within Limit,Within Limit,7.98,1099,32.6,34.5,371,17.0,1.0
Porbandar,674.7,667.8,Over-Exploited,Moderate,Within Limit,Within Limit,7.87,1388,92.8,55.9,364,13.5,0.62
Mahisagar,931.8,980.2,Safe,Moderate,Within Limit,Within Limit,8.23,952,96.5,39.4,384,14.4,0.24
Surendranagar,409.3,549.6,Safe,Moderate,Within Limit,Within Limit,7.41,648,106.5,44.6,194,38.8,0.21
